id,longitude,latitude,from,to,label
1,-56.5484812696997,-14.184843128981377,2000-02-18,2016-06-25,NoClass
1,-56.563888984108225,-14.186499293349694,2000-02-18,2016-06-25,NoClass
1,-56.57858516760078,-14.188116434620273,2000-02-18,2016-06-25,NoClass
1,-56.577349285681876,-14.1738519953694,2000-02-18,2016-06-25,NoClass
1,-56.5632143522075,-14.17347132021095,2000-02-18,2016-06-25,NoClass
1,-56.54869582318995,-14.172299603459251,2000-02-18,2016-06-25,NoClass
1,-56.52768413209609,-14.15373807276554,2000-02-18,2016-06-25,NoClass
1,-56.50836320667097,-14.150731025936715,2000-02-18,2016-06-25,NoClass
1,-56.58395697227393,-14.167059123024629,2000-02-18,2016-06-25,NoClass
1,-55.728854369553744,-12.626490497990224,2000-02-18,2016-06-25,NoClass
1,-55.728543994333585,-12.617613338937264,2000-02-18,2016-06-25,NoClass
1,-55.73423958847762,-12.61656314524166,2000-02-18,2016-06-25,NoClass
1,-55.74068476495065,-12.614210232993404,2000-02-18,2016-06-25,NoClass
1,-55.74531970745742,-12.604086047987161,2000-02-18,2016-06-25,NoClass
1,-55.739470509829594,-12.626832362036033,2000-02-18,2016-06-25,NoClass
1,-55.72749462956301,-12.633478825100914,2000-02-18,2016-06-25,NoClass
1,-55.71409316589218,-12.630709429429274,2000-02-18,2016-06-25,NoClass
1,-55.757508532292285,-12.567921730372865,2000-02-18,2016-06-25,NoClass
1,-55.6506762604824,-11.861746530991274,2000-02-18,2016-06-25,NoClass
1,-55.637933052593176,-11.855298294323484,2000-02-18,2016-06-25,NoClass
1,-55.63598712382632,-11.870308335684634,2000-02-18,2016-06-25,NoClass
1,-55.62704541352095,-11.849951733420308,2000-02-18,2016-06-25,NoClass
1,-55.625091488582044,-11.86574038828523,2000-02-18,2016-06-25,NoClass
1,-55.62124163993584,-11.841120932025452,2000-02-18,2016-06-25,NoClass
1,-55.61939077185472,-11.848962389347022,2000-02-18,2016-06-25,NoClass
1,-55.617690465661276,-11.860400684401679,2000-02-18,2016-06-25,NoClass
1,-55.60818068879291,-11.844395699052761,2000-02-18,2016-06-25,NoClass
1,-55.606506279891285,-11.85862086038671,2000-02-18,2016-06-25,NoClass
1,-55.5925673357301,-11.841736903633496,2000-02-18,2016-06-25,NoClass
1,-55.59132288536443,-11.854764364071228,2000-02-18,2016-06-25,NoClass
1,-55.59006593970067,-11.86500683343605,2000-02-18,2016-06-25,NoClass
1,-55.581562081294436,-11.835941422090007,2000-02-18,2016-06-25,NoClass
1,-55.580233876111194,-11.84378607540947,2000-02-18,2016-06-25,NoClass
1,-55.57927859497109,-11.852831206401445,2000-02-18,2016-06-25,NoClass
1,-55.57872649720295,-11.861881003939871,2000-02-18,2016-06-25,NoClass
1,-55.582560879184655,-11.872310761639275,2000-02-18,2016-06-25,NoClass
1,-55.59048814679316,-11.8781837216352,2000-02-18,2016-06-25,NoClass
1,-55.58999142662508,-11.886372065957552,2000-02-18,2016-06-25,NoClass
1,-55.600400065629856,-11.886824061262862,2000-02-18,2016-06-25,NoClass
1,-55.60821391562618,-11.891631180559047,2000-02-18,2016-06-25,NoClass
1,-55.614116361327945,-11.878329997290457,2000-02-18,2016-06-25,NoClass
1,-55.63538579316244,-11.888821315049881,2000-02-18,2016-06-25,NoClass
1,-55.65186795049761,-11.87820998980374,2000-02-18,2016-06-25,NoClass
1,-55.64461762691488,-11.892121319031595,2000-02-18,2016-06-25,NoClass
1,-55.6434189943242,-11.8967549964098,2000-02-18,2016-06-25,NoClass
1,-55.62458688948384,-11.897833748248308,2000-02-18,2016-06-25,NoClass
1,-55.61544912862909,-11.894864309464939,2000-02-18,2016-06-25,NoClass
1,-55.613089852597135,-11.910128134097281,2000-02-18,2016-06-25,NoClass
1,-55.60509434484026,-11.905906902778197,2000-02-18,2016-06-25,NoClass
1,-55.59225470231088,-11.898727197469817,2000-02-18,2016-06-25,NoClass
1,-55.5854423777871,-11.909863086581256,2000-02-18,2016-06-25,NoClass
1,-55.57710430378945,-11.902384508717159,2000-02-18,2016-06-25,NoClass
1,-55.5778435654414,-11.89626288537852,2000-02-18,2016-06-25,NoClass
1,-55.59663343055518,-11.919886703268634,2000-02-18,2016-06-25,NoClass
1,-55.60373863931475,-11.933304216452381,2000-02-18,2016-06-25,NoClass
1,-55.60874276594922,-11.927752024540132,2000-02-18,2016-06-25,NoClass
1,-55.6116788653363,-11.921862286533164,2000-02-18,2016-06-25,NoClass
1,-55.61962183807424,-11.91440126278854,2000-02-18,2016-06-25,NoClass
1,-55.629091829815216,-11.91935501911817,2000-02-18,2016-06-25,NoClass
1,-55.629091829815216,-11.91935501911817,2000-02-18,2016-06-25,NoClass
1,-55.625244332203,-11.905205617959448,2000-02-18,2016-06-25,NoClass
1,-55.625244332203,-11.905205617959448,2000-02-18,2016-06-25,NoClass
1,-55.622413146212814,-11.931774960909168,2000-02-18,2016-06-25,NoClass
1,-55.622413146212814,-11.931774960909168,2000-02-18,2016-06-25,NoClass
1,-55.63179585515263,-11.905644818684745,2000-02-18,2016-06-25,NoClass
1,-55.63179585515263,-11.905644818684745,2000-02-18,2016-06-25,NoClass
1,-55.63848541307473,-11.907537971651731,2000-02-18,2016-06-25,NoClass
1,-55.64510931033733,-11.908648011040093,2000-02-18,2016-06-25,NoClass
1,-55.6493850388494,-11.923188745524648,2000-02-18,2016-06-25,NoClass
1,-55.6351755485201,-11.938492872231425,2000-02-18,2016-06-25,NoClass
1,-55.63408884488012,-11.943920395343909,2000-02-18,2016-06-25,NoClass
